"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 2/8/16, 8:10:22 PM"


64
X,Y
-89.8270,8.12540,
-87.1629,14.0322,
-84.8325,18.2772,
-82.0036,22.3371,
-78.8426,26.0273,
-75.3480,31.1946,
-73.3491,36.5480,
-71.8488,41.9020,
-70.3482,47.6253,
-68.6808,54.0871,
-67.0146,59.0715,
-65.1842,61.6551,
-63.0231,62.2069,
-61.0306,59.8041,
-58.8712,58.3245,
-55.7128,58.8753,
-53.0511,61.8273,
-50.0557,66.2563,
-47.7255,70.3167,
-44.5642,74.3763,
-41.4042,76.9585,
-38.4105,79.3561,
-35.0853,80.6454,
-30.5966,82.1182,
-26.9387,83.7765,
-23.2806,85.6195,
-20.2870,88.0171,
-16.7942,90.9683,
-12.8022,94.6576,
-8.97706,97.6085,
-5.15281,99.4513,
-2.49292,100.187,
1.32979,100.183,
4.32010,98.5182,
7.80887,96.6679,
11.4635,94.4481,
14.4529,91.6749,
17.7747,88.9014,
21.2622,85.5738,
24.2519,83.1699,
28.5708,80.2108,
33.2227,77.9899,
37.8749,76.1384,
41.5300,74.4726,
45.0173,70.7756,
48.3383,67.0788,
51.1602,62.8284,
54.3145,58.3930,
58.1347,55.4344,
62.2909,56.7228,
65.2835,57.8278,
67.7751,55.9785,
69.4336,51.7293,
70.9263,48.0343,
72.2529,44.3395,
73.2469,40.4604,
74.5727,35.8422,
76.0647,31.2239,
78.0563,27.7131,
81.0450,24.2012,
84.5329,21.2429,
87.1892,17.7314,
89.6779,12.3734,
89.8430,11.0805,
